"","none_Shapley","Lagged_Age_Shapley","Lagged_Nutrition_Shapley","Lagged_Health_Shapley","Lagged_Mobility_Shapley","Age_Shapley","Nutrition_Shapley","Health_Shapley","Lagged_Age_Value","Lagged_Nutrition_Value","Lagged_Health_Value","Lagged_Mobility_Value","Age_Value","Nutrition_Value","Health_Value"
"1",0.500002354324834,0.0126536695275712,0.0300451419344996,-0.118438422157542,-0.28542563765415,0.00121199753295025,0.018393148341034,-0.0754998793733238,1,1,0,0,1,1,0
"2",0.500002338536667,-0.012936170266512,-0.0342119945743174,-0.110726603988182,-0.271287476735191,0.0018418363267091,-0.0235817811516148,-0.0423685464293519,0,0,0,0,0,0,0
"3",0.500002336634021,-0.0189696633692535,-0.0325770195773431,-0.113535726256835,-0.268839567145423,-0.00423794781223594,-0.0190738736666524,-0.0360369376825204,0,0,0,0,0,0,0
"4",0.500002336271971,-0.0172821333252197,-0.0387942277962331,-0.110578016223014,-0.265860290016385,0.00359655898330428,-0.0248983715659103,-0.0394542555393487,0,0,0,0,0,0,0
"5",0.500002338430294,-0.0135743930752181,-0.0379657994534043,-0.111047593180257,-0.266527048104377,0.000411257483994599,-0.0241407712249623,-0.0404263894449858,0,0,0,0,0,0,0
"6",0.500002337489376,-0.019959966974467,-0.0356836376676393,-0.11282947183578,-0.263881543224495,0.00250315077453193,-0.0270259986540356,-0.0363932691945886,0,0,0,0,0,0,0
"7",0.500002335149697,-0.0139086061106804,-0.0325664691306987,-0.11061077247432,-0.264698803990858,-0.00496506292353485,-0.0228142013648201,-0.0437068187799885,0,0,0,0,0,0,0
"8",0.500002353617942,-0.0202587757266212,0.0212364762935791,-0.110043536045032,-0.285167133973007,0.00234841333113443,0.02924110800121,-0.0787994221547209,0,1,0,0,0,1,0
"9",0.500002336964814,-0.017692717408005,-0.0351120707910813,-0.111208807194011,-0.266455526852529,0.0034108218049781,-0.021612333487874,-0.0446001018957079,0,0,0,0,0,0,0
"10",0.500002336435831,-0.0112035910790693,-0.0382546419878831,-0.112522359087829,-0.265153404768587,-0.000636374375054092,-0.0245642779309732,-0.0409360867554889,0,0,0,0,0,0,0
"11",0.500002337997347,-0.0125219168793038,-0.0379637297451441,-0.112410836811314,-0.267945676571087,0.00177407481945341,-0.0239635337068333,-0.0402391183042094,0,0,0,0,0,0,0
"12",0.500002336641606,-0.0164711676403501,-0.0374406160407278,-0.110568803424961,-0.268828276274929,0.00242164720385547,-0.0242830213513497,-0.038100498222153,0,0,0,0,0,0,0
"13",0.500002337817492,-0.0166277247336566,-0.0346665723057676,-0.109947289263946,-0.268683846924249,-0.00110631857132603,-0.019598801653678,-0.0426401831575737,0,0,0,0,0,0,0
"14",0.500002337314803,-0.0136871025600737,-0.0319788738434043,-0.113517934616513,-0.269685626553206,0.0038025699741469,-0.025731952071131,-0.0424718163667556,0,0,0,0,0,0,0
"15",0.500002337174523,-0.0139831992734502,-0.0387079630048335,-0.114372229685814,-0.263249231603616,0.000804080846050497,-0.022775723842343,-0.0409864697205637,0,0,0,0,0,0,0
"16",0.500002336129042,-0.0180123367161234,-0.0348890626080958,-0.113385940012957,-0.267986295046467,0.00534601263502118,-0.0208560865704763,-0.043487026819047,0,0,0,0,0,0,0
"17",0.500002335643143,-0.0207614316306946,-0.039355595259913,-0.113132372726985,-0.263990123148064,0.00444497795985109,-0.0217049273638448,-0.0387712630550196,0,0,0,0,0,0,0
"18",0.500002338545421,-0.0147633237935372,-0.0391796781291262,-0.113470206833641,-0.267999666090684,0.00105319904991977,-0.0193296857510165,-0.0395813757307648,0,0,0,0,0,0,0
"19",0.500002336235336,-0.0145474342978637,-0.0346036126963389,-0.11263879372048,-0.264054595348511,-0.000723801075248419,-0.0256695967510371,-0.041032901483116,0,0,0,0,0,0,0
"20",0.500002336766347,-0.0122203009085778,-0.0347210307551758,-0.11109014893225,-0.265138779199583,-0.00249604868677793,-0.0265174037916735,-0.0410870237602814,0,0,0,0,0,0,0
"21",0.50000233748804,-0.0191977448033724,-0.032038220893485,-0.110308909777759,-0.270927906608969,0.00177685870961955,-0.0211667176706599,-0.0414080949161359,0,0,0,0,0,0,0
"22",0.500002337330386,-0.0125905989116944,-0.0351804236664418,-0.110861678331599,-0.266210135365065,-0.000763163792902694,-0.0260413182259816,-0.0416234181381071,0,0,0,0,0,0,0
"23",0.500002357372339,-0.0208663145242446,-0.0332179987639221,0.108345591393386,-0.28903112350601,0.00399267111839978,-0.027773054516968,-0.113747608723788,0,0,1,0,0,0,0
"24",0.50000235231799,-0.00958138724263416,-0.0404671982352999,0.124057286135231,-0.278101295411153,0.00249502232104517,-0.0314263307998896,0.074901811663736,0,0,1,0,0,0,1
"25",0.50000234706439,-0.0227018408353227,-0.0438979918037142,-0.137847864635919,0.249151499112391,0.00468248462570409,-0.0246942797465024,-0.0440696845170564,0,0,0,1,0,0,0
"26",0.500002336217511,-0.0142669280264111,-0.0352396605181998,-0.114348231458568,-0.268148856189411,0.00582825590627647,-0.0265430814821621,-0.0405522336116948,0,0,0,0,0,0,0
"27",0.500002338661718,-0.0182161301356341,-0.0373061425303912,-0.110243704599148,-0.267941256665605,0.00239116055888966,-0.0214673210028122,-0.0404873429325118,0,0,0,0,0,0,0
"28",0.500002353403425,0.0122837984777834,0.0275299117482687,-0.117513041684725,-0.289936742275797,-0.00304411437390478,0.0220301988386426,-0.0684099914824663,1,1,0,0,1,1,0
